Character,Origin
3-D Man,None
Abe Sapien,Abe is a humanoid amphibious man, discovered in a Washington DC basement in November of 1978. Abe has been with the Bureau ever since, performing as a field agent as he endeavors to discover the truth about his identity. In November, 1978, a comatose, amphibious man was found inside a water-filled capsule within a long-lost chamber beneath the St. Trinian’s Hospital. Found by a group of plumbers, the Bureau for Paranormal Research and Defense quickly intercepted the creature, and nicknamed it “Abraham Sapien,” in reference to the scrap of paper written on his tube: April 14th 1865; the date of President Abraham Lincoln’s death.
Abin Sur,After a Green Lantern sacrificed his life to defeat an alien tyrant, Abin Sur, a native of the tyrant's planet, was chosen to succeed him and chose to fight against the kind of tyranny he lived under.
Absorbing Man,None
Adam Strange,Adam Strange, archeaologist, is seemingly randomly teleported from Earth to the planet Rann, where he becomes its hero, often teleporting between the two worlds.
Agent Zero,None
Air-Walker,None
Ajax,None
Alan Scott,Alan Scott was a railway engineer who was trapped in a wrecked train. A lantern appeared containing a magical entity known as the Starheart. The lantern mentally influenced Alan to create a ring that would allow him to harness the Starheart's power and he became the Green Lantern.
Alien,None
Allan Quatermain,None
Amazo,None
Angel,Raised by wealthy parents, Warren Worthington III discovered one day that he had bird-like wings. He was later approached by Professor Charles Xavier, a teacher who had created a school for mutants. After joining the school, the students also formed a team of superheroes (the X-Men) to use their powers for good.
Angel Salvadore,None
Animal Man,None
Annihilus,None
Ant-Man,None
Ant-Man II,None
Anti-Monitor,None
Anti-Venom,None
Apocalypse,None
Aquababy,None
Aqualad,Experimented on as an infant by the people of the dimension Xebel, Kaldur'ahm (known to most as Jackson Hyde) was brought back to Earth where as a teen he would learn his abilities to control water and his heritage. He would later use his powers as the hero Aqualad.
Aquaman,A half-human/half-Atlantean, Arthur Curry was raised by a human and learned at a young age to use his powers to live aquatically to help people before taking up the throne of Atlantis.
Arachne,None
Arclight,None
Ares,None
Ariel,None
Astro Boy,Created by the scientist Dr. Tenma to replace the son he lost, Astro proved to be a disappointment to his creator, but was adopted by Professor Ochanomizu, who inspired him to use his powers to help others.
Atlas,None
Atom,Al Pratt was a weak, short man who was bullied until he was trained by an ex-boxer to become a powerhouse fighter. He decided to use his newfound skills to fight crime as The Atom.
Atom Girl,None
Aurora,None
Azazel,None
Azrael,Raised to be an avenger for the mysterious Order of St. Dumas, Jean-Paul Valley eventually broke free from their influence and struck out on his own as a crime fighter.
Aztar,None
Bananaman,None
Bane,Raised in a prison and the subject of experimentation, Dorrance became obsessed with the stories he heard of Batman.  Developing both strength (assisted by a powerful drug) and intelligence, he renamed himself Bane and vowed to defeat Batman once and for all.
Banshee,A mutant with sonic powers, Sean Cassidy was forced to fight for the villain group Factor Three after being mind controlled.  After breaking free of his mind control, he allied himself with the X-Men as Banshee.
Batgirl,While heading to a costume part dressed as Batman, Barbara Gordon ended up saving the real Batman from a supervillain. Realizing her potential, she decided to continue to fight crime as Batgirl.
Batman,After his parents were murdered by a criminal, Bruce Wayne trained his mind and body to fight crime as Batman, using the image of the bat to strike terror into the hearts of criminals.
Batman II,None
Beast,A gifted scholar with unusually large hands and feet, Hank McCoy later learned that he was a mutant and was invited to join the X-Men to defend a world that fears and hates him as The Beast.
Beast Boy,When Gar Logan was infected with a rare disease that only animals could survive, his genetist parents altered his DNA, which turned his skin green. Years later, Gar discovered he could transform into any animal and after being rescued by the Doom Patrol became the superhero Beast Boy.
Ben 10,After finding what appeared to be a meteorite, Ben Tennyson found a strange alien artifact that bonded to him, allowing him to shape-shift into one of ten aliens.
Beta Ray Bill,None
Beyonder,An alien god-like entity, The Beyonder decided to involve himself with the affairs of humans to study them, often antagonizing them in the process.
Big Barda,None
Big Daddy,Damon MacReady was a fan of superhero comics who kidnapped his daughter and raised her to believe that they should kill criminals to avenge her mother's death.
Big Man,None
Birdman,None
Bishop,A police officer from a dystopian future, Bishop traveled back in time to prevent disaster, and joined the X-Men to do so.
Bizarro,Created as an attempt to clone Superman, Bizarro was somehow made wrong and thinks and behaves in backwards logic.
Bizarro-Girl,None
Black Adam,Teth-Adam was a hero of ancient Egypt chosen for his purity of spirit by the wizard Shazam to hold his powers.  However, Adam eventually became corrupt and power-hungry, becoming the entity Black Adam.
Black Bolt,Black Bolt was the rightful king of the Inhumans, was born with a powerful voice capable of destroying mountains.  Raised in a soundproof room, Black Bolt vowed never to speak, leading the Inhuman race in silence.
Black Canary,Daughter of the original superhero also called the Black Canary, Dinah Lance was born with a special gene that gave her a "canary cry", a powerful high pitched sonic attack from her voice.  She decided to follow her mother's footsteps and fight crime as the new Black Canary.
Black Cat,The daughter of an infamous cat burglar, Felicia Hardy developed her own theiving and fighting skills as the theif Black Cat, later using these skills to become a crime fighter.
Black Flash,None
Black Lightning,Born a metahuman, Jefferson Pierce was inspired to use his electric powers for good when realizing his neighborhood needed protection from corrupt forces.
Black Mamba,None
Black Manta,A former child slave at sea, Black Manta developed an extreme love and hate for the sea and after freeing himself, created a new identity for himself as Black Manta, the fearsome pirate.
